latitud;longitud;direccion;B93;B95;B97;DIESEL;keresone;marca;
-34.1759354;-70.7282103;CACHAPOAL 1420, Rancagua;812.0;846.0;880.0;612.0;652.0;ABASTIBLE;
-34.4088146;-70.8411426;Alameda Bdo. O´higgins 024, Rancagua;815.0;848.0;881.0;613.0;653.0;ABASTIBLE;
-34.5755012;-70.98954400000002;San Martin 170, Rengo;814.0;854.0;900.0;604.0;652.0;ABASTIBLE;
-34.445136165489465;-71.3664311170578;AV. OBISPO EDUARDO LARRAIN 792, Litueche;755.0;783.0;824.0;534.0;608.0;EL HUIQUE;
-34.633795;-71.110827;Carretera Fruta Ruta H-66 - Km 62 0, Las Cabras;754.0;782.0;872.0;590.0;678.0;Combustibles Ortiz;
-34.35839450417108;-71.28216952085495;Camino El Abra 10, Requínoa;802.0;833.0;867.0;592.0;653.0;COPEC;
-34.29351471901446;-71.31314903497696;IGNACIO CARRERA PINTO 1787, Pichidegua;805.0;840.0;869.0;593.0;649.0;COPEC;
-34.29351471901446;-71.31314098834991;LAS ACACIAS 00, Las Cabras;810.0;842.0;874.0;595.0;671.0;SHELL;
-34.440577248393666;-71.0567244887352;Carretera de la Fruta  1600, Peumo;810.0;842.0;874.0;595.0;670.0;COPEC;
-34.43695161466782;-71.07683300971985;RIESCO, PORTALES 0, San Vicente;812.0;844.0;876.0;595.0;656.0;Sin Bandera;
-34.412610006295274;-71.12793445587158;Av. Germán Riesco 1890, San Vicente;812.0;844.0;876.0;595.0;656.0;PETROBRAS;
-34.40899841940333;-71.64096923559572;Arturo Prat 623, San Vicente;812.0;844.0;876.0;595.0;667.0;Sin Bandera;
-34.1182541;-70.7541730;BERNALES 180, Malloa;813.0;842.0;894.0;596.0;653.0;Sin Bandera;
-34.355241386092224;-70.96388250589371;San Ignacio 4, Rengo;797.0;827.0;888.0;598.0;639.0;COPEC;
-34.35522810023139;-70.96387714147568;AVDA. ARGOMEDO 0, Quinta de Tilcoco;811.0;845.0;882.0;599.0;667.0;COPEC;
-34.40516583839494;-70.86095809936523;ARGOMEDO S/N, MIGUEL CUADRA 0, Quinta de Tilcoco;813.0;847.0;884.0;599.0;672.0;COPEC;
-34.41022412005136;-70.85341398465573;SAN MARTIN S/N, M. SOLIS 0, Rengo;814.0;852.0;890.0;599.0;642.0;PETROBRAS;
-34.28723672825482;-70.81998467445374;CAUPOLICAN 67, Rengo;814.0;852.0;890.0;599.0;642.0;COPEC;
-34.287210134991334;-70.82004904747009;AV. LEONARDO MURIALDO 225, Requínoa;813.0;846.0;888.0;599.0;653.0;SHELL;
-34.386016856178074;-72.00430870056152;Comercio  637, Requínoa;813.0;846.0;888.0;599.0;653.0;COPEC;
-34.386725;-72.004773;AV. ORTUZAR 292, Pichilemu;810.0;833.0;875.0;599.0;674.0;PETROBRAS;
-34.57838706236286;-71.3796329498291;Ángel Gaete 708, Pichilemu;810.0;831.0;875.0;600.0;679.0;PETROBRAS;
-34.40137711334149;-71.6227912902832;AV. ERRAZURIZ 1236, Santa Cruz;805.0;839.0;871.0;600.0;667.0;SHELL;
-34.477268;-71.487259;Av. 5 de Abril esquina Ruta I - 50 778, Marchihue;810.0;828.0;873.0;601.0;690.0;Sin Bandera;
-34.728069689872285;-71.64493560791016;LAS ACACIAS 215, Lolol;811.0;823.0;839.0;603.0;671.0;Sin Bandera;
-34.40422309924622;-70.85784137248993;Rafael Casanova 928, Santa Cruz;811.0;844.0;874.0;603.0;667.0;SHELL;
-34.28707716854766;-71.08430027961731;Arturo Prat 590, Rengo;814.0;854.0;900.0;604.0;662.0;PETROBRAS;
-34.595805081581375;-70.98863124847412;CAMINO PEUMO S/N, MONS. LECAROS 0, Coltauco;805.0;839.0;873.0;605.0;674.0;COPEC;
-34.58612492931226;-70.9850263595581;AV. BERNARDO O\'HIGGINS 010, San Fernando;823.0;853.0;880.0;605.0;640.0;PETROBRAS;
-34.60137929727286;-70.98809345723873;Av. Bdo. O\'Higgins 790, San Fernando;823.0;853.0;880.0;605.0;640.0;SHELL;
-34.71739081954427;-71.02941691875458;Pisagua 271, Chimbarongo;823.0;853.0;880.0;605.0;643.0;Sin Bandera;
-34.584062451866885;-70.9837281703949;LONGITUDINAL SUR KM. 90 0, Olivar;823.0;853.0;880.0;606.0;654.0;COPEC;
-34.57408499142399;-70.99150657653809;AV. B. O\'HIGGINS ESQ. M. VELASCO 0, San Fernando;823.0;854.0;881.0;606.0;639.0;COPEC;
-34.58907060597533;-70.98542332649231;AV. MANSO DE VELASCO 115, San Fernando;823.0;853.0;880.0;606.0;641.0;SHELL;
-34.72939232759388;-71.27209782600403;O´Higgins 518, San Fernando;824.0;854.0;887.0;606.0;653.0;COPEC;
-34.6538270014492;-71.20410919189453;18 DE SEPTIEMBRE 3686, Chépica;808.0;842.0;875.0;606.0;668.0;COPEC;
-34.65264436692848;-71.19934558868408;CARRETERA I-50, KM 24, Nancagua;808.0;842.0;875.0;606.0;659.0;FACAZ;
-34.64222939416546;-71.36513829231262;Avenida Erráziriz 1240, Santa Cruz;808.0;842.0;877.0;606.0;670.0;COPEC;
